ID,Latitude,Longitude,Region,Elevation,Slope,Aspect,Hillshade,TPI,Roughness,Curvature,Rain_7d,Rain_30d,Rain_year,NDVI,NDMI,NBR,BSI,Distance_to_River,Landcover,Treecover,Cropland,Builtup,Landslide_Score,Prediction_Class,Prediction_Landslide,Ground_Truth,Observation_Time
0_0,-7.311388918178345,107.28769158987234,Cianjur,873,13,120,146,0.5862068965517437,13,-8.0,60.42608308792114,516.1323184967041,3471.5593329668045,0.859664,0.34718663,0.6422042,-0.3160892,-9999.0,10,1,0,0,1.1500000000000001,2,Moderate,0,2026-04-19 04:53:21
1_0,-6.812284946321547,107.17153942363569,Cianjur,371,6,99,163,0.5862068965517437,6,-3.0,48.364025592803955,354.497501373291,3068.200308471918,0.3155759,-0.10606538,-0.034876507,0.12700872,-9999.0,50,0,0,1,0.2,1,Low,0,2026-04-19 04:53:21
2_0,-7.362862383958394,107.27610332270717,Cianjur,450,12,312,209,-5.9655172413793025,16,12.0,59.49815368652344,516.7145919799805,3488.392410635948,0.8646174,0.39305148,0.68421054,-0.35857287,-9999.0,10,1,0,0,1.3,2,Moderate,0,2026-04-19 04:53:21
3_0,-7.318395777394478,107.19929736591496,Cianjur,232,9,135,160,-9.241379310344826,8,25.0,56.199462890625,503.3426880836487,3442.952234208584,0.68564504,0.31293535,0.5855221,-0.2636109,-9999.0,10,1,0,0,1.1,1,Low,0,2026-04-19 04:53:21
4_0,-7.420264730613631,107.06697552456416,Cianjur,66,18,37,147,-0.06896551724138078,16,2.0,69.35869646072388,577.3529229164124,4177.488095879555,0.7720329,0.21966326,0.5387955,-0.19023472,-9999.0,10,1,0,0,1.2999999999999998,2,Moderate,0,2026-04-19 04:53:21
5_0,-7.110615452177633,106.96780151719736,Cianjur,798,8,225,198,-0.5517241379310462,7,5.0,63.218080043792725,474.1057209968567,3729.5178947746754,0.6580645,0.19096898,0.46502057,-0.14838463,-9999.0,10,1,0,0,0.9500000000000001,1,Low,0,2026-04-19 04:53:21
6_0,-7.1219342247575455,107.0696704704165,Cianjur,867,13,278,220,-15.0,14,58.0,66.28949403762817,512.5130801200867,3803.130597859621,0.5968469,0.183518,0.43488464,-0.15544184,-9999.0,10,1,0,0,1.25,2,Moderate,0,2026-04-19 04:53:21
7_0,-7.116813827638062,107.2197789543929,Cianjur,1305,13,344,192,6.1724137931034875,10,-31.0,61.78440284729004,496.694863319397,3550.9215030670166,0.8237548,0.3186014,0.6226013,-0.2828705,-9999.0,10,1,0,0,1.1,1,Low,0,2026-04-19 04:53:21
8_0,-7.283091986728586,107.18717010957937,Cianjur,694,31,101,89,2.2413793103448825,36,0.0,55.67080593109131,458.90345525741577,3356.603616565466,0.8136763,0.2929338,0.5910525,-0.25385967,-9999.0,10,1,0,0,1.65,2,Moderate,0,2026-04-19 04:53:21
9_0,-7.1796060659980085,107.12006595785562,Cianjur,573,7,270,201,2.3448275862068613,7,-15.0,62.186031341552734,467.57786321640015,3417.4445527791977,0.6410005,0.14955813,0.38649556,-0.09843243,-9999.0,40,0,1,0,0.4,1,Low,0,2026-04-19 04:53:21
10_0,-6.817405343441017,107.12545584956035,Cianjur,497,7,82,160,-1.0,7,6.0,51.709943771362305,386.8283472061157,3305.083865329623,0.4768551,0.046296284,0.19370836,-0.009676928,-9999.0,50,0,0,1,0.2,1,Low,0,2026-04-19 04:53:21
11_0,-7.194158773600755,107.11090314195758,Cianjur,505,10,195,189,3.1724137931034306,11,-17.0,62.186031341552734,467.57786321640015,3417.4445527791977,0.7858401,0.28573886,0.5512874,-0.24983613,-9999.0,10,1,0,0,0.9500000000000001,1,Low,0,2026-04-19 04:53:21
12_0,-7.133522491922683,107.2453809399903,Cianjur,1373,6,261,198,-4.3103448275862775,6,16.0,61.78440284729004,496.694863319397,3550.9215030670166,0.8367629,0.3346018,0.6390808,-0.3041386,-9999.0,10,1,0,0,0.8,1,Low,0,2026-04-19 04:53:21
13_0,-6.682119061652621,107.00984267249413,Cianjur,1421,33,357,185,-7.482758620689765,40,43.0,66.32251405715942,483.3540835380554,4028.4250952005386,0.85153383,0.29659525,0.61160535,-0.2784582,-9999.0,10,1,0,0,1.7999999999999998,3,High,0,2026-04-19 04:53:21
14_0,-7.269617257466784,107.46340205944608,Cianjur,994,49,156,126,-3.4482758620689538,64,30.0,55.17669439315796,467.4535002708435,3403.41888487339,0.8411447,0.31994867,0.6178325,-0.294354,-9999.0,10,1,0,0,1.65,2,Moderate,0,2026-04-19 04:53:21
